;Drug Id;Drug Name;Generic Name;Brand Name;Company Name;Therapy Area;Indication;Development Stage;Drug Geography;Alias Name;Route of Administration;Target;Mechanism of Action;Molecule Type;ATC Classification;Immunotherapy;Line of Therapy;Chemical Name;Chemical Formula;CAS Number;Drug Description;Mechanism of Action Description;R&D Progress;Highest Development Stage;Drug Type;Last Development Stage;Inactive/Discontinued Date;Reason for Discontinuation;Drug Descriptor;Application Type;Rare Disease
;45897;4SC-301;;;4SC AG;Infectious Disease;" Hepatitis C; Unspecified Influenza Virus Infections; Viral Infections";Inactive; Global;4SC301,4SC 301,SC75741,SC 75741,SC-75741,;"Intravenous; Oral";Nuclear Factor Kappa B (NFKB);Nuclear Factor Kappa B (NFKB) Inhibitor;Small Molecule;J05AP Antivirals for treatment of HCV infections;;;;;;4SC-301 was under development for the treatment of viral infections including acute influenza infections and Hepatitis C. It is administered through oral and intravenous route. The drug candidate targets nuclear factor kappa B. The drug candidate is developed based on 4SCan technology.;4SC-301 acts as nuclear factor kappa B (NFKB). NFkB is a signal transcription factor which is an important modulator of altered gene programs. The drug candidate blocks the nuclear factor kappa-light-chain-enhancer of activated B cells signaling pathway and thus prevents the virus from spreading. The substance prevents the multiplication of influenza viruses, and consequently the infection of further cells.;" &lt;p&gt;4SC AG, announced that it has completed the rights offering of 4,676,703 shares of its common stock at a price of EUR2.37 (USD2.68) per share, for gross proceeds of EUR11.08 million (USD12.53 million). The shares were offered to the existing shareholders. The subscription ratio was 2:1, which means 2 existing shares entitle the holder to subscribe for 1 new share. The new shares are anticipated to be admitted to trading on 4 July 2019 after registration of the implementation of the capital increase with the commercial register, which is expected to be made on 2 July 2019. MainFirst Bank AG acted as European Bookrunner in the offering.&lt;/p&gt;; 4SC AG was developing 4SC-301 for the treatment of viral infections including acute influenza infections and hepatitis C. As of June 2009, the drug candidate was in pre-clinical stage of development.; In July 2005, 4SC AG filed a patent with application (PCT/EP2005/008261) entitled “Novel heterocyclic nf-&kappa;b inhibitors"". The invention relates to novel heterocyclic compounds general formula or a salt or a physiologically functional derivative or a stereoisomer and pharmaceutical compositions containing such compounds, for use in the treatment of NF-&kappa;B pathway-associated disorders.";Inactive;Innovator;Preclinical;30-Jun-2009;;;;
;341749;AB-421;;;Arcus Biosciences Inc;Oncology; Oncology;Inactive; Global;CD73 Inhibitor,AB 421,AB421,;"Intravenous; Oral";5' Nucleotidase (Ecto 5' Nucleotidase or CD73 or NT5E or EC 3.1.3.5);5' Nucleotidase (Ecto 5' Nucleotidase or CD73 or NT5E or EC 3.1.3.5) Inhibitor;Small Molecule;L01XX Other antineoplastic agents;Immunomodulatory Enzyme Inhibitor;;;;;AB-421 was under development for the treatment of cancer. The drug candidate administered intravenously and oral. The drug candidate acts by targeting CD73.;AB-421 act as CD73 inhibitor. CD73 is expressed on both regulatory T cells and tumor cells. It promotes the immune-suppression through the pathway degrading ATP into adenosine. ATP promotes immune cell-mediated killing of cancer cells. In contrast, adenosine accumulation causes immune suppression and dysregulation of immune cell infiltrates resulting in tumor spreading. The drug candidate there by blocking of CD73, stimulates the anti-tumor immunity.;" &lt;p&gt;Arcus Biosciences Inc announced the public offering of shares of common stock, to raise gross proceeds of up to USD75 million. The company intends to use the proceeds for working capital, capital expenditures and other general corporate purposes, which may include costs of funding future acquisitions.&lt;/p&gt;; Arcus Biosciences was developing AB-421 for the treatment of cancer. As of September 2017, the drug candidate is in preclinical stage of development.; Company reported the efficacy of novel CD73 small molecule inhibitors using experimental tumor models. The results demonstrated that they have identified selective and potent small molecule CD73 inhibitors that effectively blocked the generation of ADO from extracellular ATP, reversed the ADO-driven inhibition of human and mouseT-cell activation, and showed promising anti-tumor activity when dosed in combination with PD-1 blockade.; In September 2016, Arcus Biosciences, Inc raised an additional USD 70 million in equity capital from Taiho Ventures, GV, Invus, DROIA Oncology Ventures and Stanford University, together with its Series A investors, including The Column Group, Foresite Capital, Novartis and Celgene. This funding allows Arcus to continue its rapid drug development activities for the small molecule and antibody immuno-oncology approaches with the goal of building its own internal combinations.; Taiho Pharmaceutical Co Ltd announced that it has entered into an option and licensing agreement with Arcus Biosciences Inc for the potential development and commercialization of product candidates in Arcus Biosciences’ portfolio in Japan and certain other territories in Asia (excluding China). Under the terms of the agreement, Arcus Biosciences will receive USD35 million in payments during the first three years of the agreement. In return for these payments, Taiho Pharma will receive an option to in-license the development and commercialization rights in its region to clinical stage product candidates from Arcus Biosciences’ portfolio over a five-year term. For any product candidate for which Taiho Pharma exercises a license, Arcus Biosciences will receive an option payment and is eligible to receive up to USD275 million in development, regulatory and commercial milestone payments per molecule. Arcus Biosciences is also eligible to receive royalties on the net sales of each product candidate that Taiho Pharma commercializes in its region ranging from the high single digits to mid-double digits.";Inactive;Innovator;Preclinical;07-Sep-2017;;Targeted Therapy;;
;102246;ABI-013;;;Bristol-Myers Squibb Co;Oncology; Solid Tumor;Inactive; Global;ABI013,ABI 013,nab CY196,nab-CY196,nabCY196,Hydrophobic Docetaxel Prodrug, Nanoparticle Albumin Bound CY196,nab-CY-196, nab CY-196, nab CY 196,Nab-novel Taxane,;Parenteral;Tubulin ;Tubulin Inhibitor;Small Molecule;L01CD Taxanes;;;;;;ABI-013 (nab CY196) was under development for the treatment of solid tumors. The drug candidate is a hydrophobic docetaxel prodrug. It is administered by a parenteral route.The drug candidate was developed based on nab (nanoparticle albumin bound) technology. The drug candidate is a nanoparticle albumin-bound taxane. The water insolubility of the active chemotherapeutic agent is overcome by using albumin. The albumin-bound drug candidate is delivered to tumors via the gp60 pathway.;ABI-013 binds to the tubulin and disrupts the microtubular network in cells. It binds to free tubulin and promotes the assembly of tubulin into stable microtubules while simultaneously inhibiting their disassembly. This leads to the production of microtubule bundles without normal function and the stabilization of microtubules, causes the inhibition of mitosis in cells and finally cell death.;" &lt;p&gt;Bristol-Myers Squibb Company and Celgene Corporation have entered into a definitive merger agreement under which Bristol-Myers Squibb will acquire Celgene in a cash and stock transaction with an equity value of approximately USD74 billion. The Boards of Directors of both companies have approved the combination. Under the terms of the agreement, Celgene shareholders will receive 1.0 Bristol-Myers Squibb share and USD50.00 in cash for each share of Celgene. Celgene shareholders will also receive one tradeable Contingent Value Right (CVR) for each share of Celgene, which will entitle the holder to receive a payment for the achievement of future regulatory milestones. The Boards of Directors of both companies have approved the combination. This transaction will complement Bristol-Myers Squibb portfolios with franchises in oncology, immunology and inflammation and cardiovascular disease. The transaction is subject to approval by Bristol-Myers Squibb and Celgene shareholders and the satisfaction of customary closing conditions and regulatory approvals. Bristol-Myers Squibb and Celgene expect to complete the transaction in the third quarter of 2019.&lt;/p&gt;; &lt;p&gt;Bristol-Myers Squibb Company announced that it has completed its acquisition of Celgene Corporation following the receipt of regulatory approval from all government authorities required by the merger agreement and, as announced on April 12, 2019, approval by Bristol-Myers Squibb and Celgene stockholders. Upon completion of the acquisition, pursuant to the terms of the merger agreement, Celgene became a wholly owned subsidiary of Bristol-Myers Squibb Company. Under the terms of the merger, Celgene shareholders received for each share, 1.00 share of Bristol-Myers Squibb common stock, USD50.00 in cash without interest and one tradeable Contingent Value Right (CVR), which will entitle the holder to receive a payment of USD9.00 in cash if certain future regulatory milestones are achieved.&lt;/p&gt;; &lt;p&gt;Bristol-Myers Squibb Company announced that the European Commission (EC) has granted unconditional approval of Bristol-Myers Squibb&rsquo;s pending acquisition of Celgene Corporation. The transaction remains subject to additional customary closing conditions and other regulatory approvals. Bristol-Myers Squibb intends to close the Celgene transaction at the earliest possible date, which it currently expects to be by the end of 2019 or the beginning of 2020.&lt;/p&gt;; &lt;p&gt;Bristol-Myers Squibb Company announced that the U.S. Federal Trade Commission (FTC) has accepted the proposed consent order in connection with the pending merger of Bristol-Myers Squibb and Celgene Corporation thereby permitting the parties to close the transaction. As announced on August 26, 2019, Celgene entered into an agreement with Amgen under which Amgen would acquire the global rights to OTEZLA (apremilast). Bristol-Myers Squibb previously announced the decision to divest OTEZLA in connection with the ongoing regulatory approval process for Bristol-Myers Squibb&rsquo;s pending merger with Celgene. Bristol-Myers Squibb has now satisfied all regulatory requirements under the merger agreement to complete the acquisition of Celgene and expects to close the transaction on November 20, 2019. Bristol-Myers Squibb also expects the OTEZLA divestiture to be completed promptly following the closing of the merger.&lt;/p&gt;; Abraxis BioScience, a wholly-owned subsidiary of Celgene Corporation was developing ABI-013 (nab CY196) for the treatment of solid tumors. As of January 2011, the drug candidate was in the pre-clinical stage of development.In November 2019, Bristol-Myers Squibb Co acquired Celgene Corp.; In October 2010, Celgene Corporation announced that it has completed its acquisition of Abraxis BioScience, Inc.";Inactive;Innovator;Preclinical;27-Jan-2011;;Chemotherapy;;
;238823;AC-262536;;;Acadia Pharmaceuticals Inc;Central Nervous System;" Alzheimer's Disease; Cognitive Impairment";Inactive; Global;AC262536,AC 262536,;Parenteral;Androgen Receptor (Dihydrotestosterone Receptor or Nuclear Receptor Subfamily 3 Group C Member 4 or DHTR or NR3C4 or AR);Androgen Receptor (Dihydrotestosterone Receptor or Nuclear Receptor Subfamily 3 Group C Member 4 or DHTR or NR3C4 or AR) Agonist;Small Molecule;"A16A OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS; N06DX Other anti-dementia drugs; N07 OTHER NERVOUS SYSTEM DRUGS";;;4-(3-hydroxy-8-aza-bicyclo(3.2.1)octyl)naphthalene-1-carbonitrile;C18H18N2O ;;AC-262536 was under development for the treatment of anabolic disorders, Alzheimer's Disease and cognitive impairment. The drug candidate is administered via injection. AC-262536 is a selective androgen receptor modulator. It acts as a partial agonist for the androgen receptor. The drug candidate is based on drug discovery platform.;AC-262536 is a potent and selective AR ligand, with partial agonist activity relative to the natural androgen testosterone. When selective androgen receptor modulators bind to the receptor, they demonstrate anabolic (hypertrophic) activity in both muscle and bone, making them ideal candidates for androgen replacement therapy, muscle wasting, and treating Osteoporosis.;" &lt;p&gt;Acadia Pharmaceuticals Inc reported that the company has filed a registration statement with the US Securities and Exchange Commission (SEC) for public offering of securities, to raise aggregate maximum gross proceeds of USD969.3 million. Pursuant to the offering, the company from time to time may issue 40,203,111 shares of common stock, which includes 489,269 shares of common stock issuable upon the exercise of warrants. The company intends to use the proceeds for working capital and other corporate and operational purposes.&lt;/p&gt;; A 2-week chronic study in castrated male rats indicated that AC-262536 significantly improves anabolic parameters in these animals, especially in stimulating the growth of the levator ani and in suppressing elevated LH levels. In sharp contrast to testosterone, AC-262536 has weak androgenic effects, as measured by prostate and seminal vesicle weights. Thus, AC-262536 represents a novel class of selective androgen receptor modulators (SARMs) with beneficial anabolic effects.; ACADIA Pharmaceuticals Inc. was engaged in the development of AC-262536 for the treatment of anabolic disorders and cognitive impairment. As of May 2008, the drug candidate was in the pre-clinical stage of development.; In May 2005, Acadia Pharmaceuticals Inc filed a patent with application (11/130669) “Androgen receptor modulators and method of treating disease using the same”. The invention relates to bicycloaryl compound selectively modulate nuclear receptors, preferably the androgen receptor, methods of treating disease.In Jan 2006, Acadia Pharmaceuticals Inc filed a patent  (PCT/US2006/000733) entitled  “Aminophenyl derivatives as selective androgen receptor modulators”. The invention relates to novel compounds and methods of using those compounds for medicinal use and/or to modulate androgen receptors.";Inactive;Innovator;Preclinical;26-May-2008;;;;
;238823;AC-262536;;;Acadia Pharmaceuticals Inc;Metabolic Disorders; Metabolic Disorders;Inactive; Global;AC262536,AC 262536,;Parenteral;Androgen Receptor (Dihydrotestosterone Receptor or Nuclear Receptor Subfamily 3 Group C Member 4 or DHTR or NR3C4 or AR);Androgen Receptor (Dihydrotestosterone Receptor or Nuclear Receptor Subfamily 3 Group C Member 4 or DHTR or NR3C4 or AR) Agonist;Small Molecule;"A16A OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS; N06DX Other anti-dementia drugs; N07 OTHER NERVOUS SYSTEM DRUGS";;;4-(3-hydroxy-8-aza-bicyclo(3.2.1)octyl)naphthalene-1-carbonitrile;C18H18N2O ;;AC-262536 was under development for the treatment of anabolic disorders, Alzheimer's Disease and cognitive impairment. The drug candidate is administered via injection. AC-262536 is a selective androgen receptor modulator. It acts as a partial agonist for the androgen receptor. The drug candidate is based on drug discovery platform.;AC-262536 is a potent and selective AR ligand, with partial agonist activity relative to the natural androgen testosterone. When selective androgen receptor modulators bind to the receptor, they demonstrate anabolic (hypertrophic) activity in both muscle and bone, making them ideal candidates for androgen replacement therapy, muscle wasting, and treating Osteoporosis.;" &lt;p&gt;Acadia Pharmaceuticals Inc reported that the company has filed a registration statement with the US Securities and Exchange Commission (SEC) for public offering of securities, to raise aggregate maximum gross proceeds of USD969.3 million. Pursuant to the offering, the company from time to time may issue 40,203,111 shares of common stock, which includes 489,269 shares of common stock issuable upon the exercise of warrants. The company intends to use the proceeds for working capital and other corporate and operational purposes.&lt;/p&gt;; A 2-week chronic study in castrated male rats indicated that AC-262536 significantly improves anabolic parameters in these animals, especially in stimulating the growth of the levator ani and in suppressing elevated LH levels. In sharp contrast to testosterone, AC-262536 has weak androgenic effects, as measured by prostate and seminal vesicle weights. Thus, AC-262536 represents a novel class of selective androgen receptor modulators (SARMs) with beneficial anabolic effects.; ACADIA Pharmaceuticals Inc. was engaged in the development of AC-262536 for the treatment of anabolic disorders and cognitive impairment. As of May 2008, the drug candidate was in the pre-clinical stage of development.; In May 2005, Acadia Pharmaceuticals Inc filed a patent with application (11/130669) “Androgen receptor modulators and method of treating disease using the same”. The invention relates to bicycloaryl compound selectively modulate nuclear receptors, preferably the androgen receptor, methods of treating disease.In Jan 2006, Acadia Pharmaceuticals Inc filed a patent  (PCT/US2006/000733) entitled  “Aminophenyl derivatives as selective androgen receptor modulators”. The invention relates to novel compounds and methods of using those compounds for medicinal use and/or to modulate androgen receptors.";Inactive;Innovator;Preclinical;26-May-2008;;;;
;102995;ACH-2881;;;Achillion Pharmaceuticals Inc;Infectious Disease;" Bacterial Infections; Methicillin-Resistant Staphylococcus aureus (MRSA) Infections";Inactive; Global;ACH2881,ACH 2881,;"Intravenous; Oral";"DNA Gyrase (EC 5.99.1.3); DNA Primase (EC 2.7.7.6); DNA Topoisomerase IV (EC 5.99.1.3)";"DNA Gyrase (EC 5.99.1.3) Inhibitor; DNA Primase (EC 2.7.7.6) Inhibitor; DNA Topoisomerase IV (EC 5.99.1.3) Inhibitor";Small Molecule;J01MB Other quinolones;;;;;;ACH-2881 was under development for the treatment of serious bacterial infections including drug-resistant bacteria, particularly MRSA. The drug candidate is administered through IV and oral route. ACH-2881 is a hydroxythienoquinolone (HTQ). The drug candidate acts by targeting DNA gyrase, topoisomerase IV and DNA primase.;ACH-2881 acts as DNA gyrase, topoisomerase IV and DNA primase inhibitor. ACH-2881 inhibits the DNA replication enzymes gyrase, topoisomerase IV and primase. DNA gyrase is an essential bacterial enzyme that catalyzes the ATP-dependent negative super-coiling of double-stranded closed-circular DNA. Topoisomerase IV, an essential ATP-dependent bacterial type II topoisomerase, transports one segment of DNA through a transient double-strand break in a second segment of DNA. These compounds act directly on bacterial DNA by inhibiting topoisomerase which leads to cell death.;" &lt;p&gt;Achillion Pharmaceuticals, Inc announced that its shareholders have approved the acquisition of Achillion by Alexion Pharmaceuticals, Inc. Achillion continues to expect the transaction to close in the first half of 2020, subject to expiration or termination of the applicable waiting period under the Hart-Scott-Rodino Antitrust Improvements Act of 1976, as amended. Alexion and Achillion have not yet submitted their filings under the HSR Act, and anticipate doing so in January 2020. At the December 19, 2019 special meeting of shareholders, Achillion&rsquo;s shareholders voted to approve and adopt the Merger Agreement. Of the shares voted, approximately 99 percent voted to approve and adopt the Merger Agreement. The final vote results will be reported in a Current Report on Form 8-K filed with the Securities and Exchange Commission.&lt;/p&gt;; &lt;p&gt;Alexion Pharmaceuticals, Inc and Achillion Pharmaceuticals, Inc announced that they have entered into a definitive agreement for Alexion to acquire Achillion. Achillion has two clinical-stage medicines in development, including danicopan (ACH-4471) in Phase II and ACH-5228 in Phase I. The initial consideration of approximately USD 930 million, or USD 6.30 per share of Achillion common stock, will be funded with cash on hand. As part of the acquisition, Alexion will also be acquiring the cash currently on Achillion&rsquo;s balance sheet. As of September 30, 2019, this was approximately USD 230 million; the actual amount will be determined as of the transaction close. The transaction includes the potential for additional consideration in the form of non-tradeable contingent value rights (CVRs), which will be paid to Achillion shareholders if certain clinical and regulatory milestones are achieved within specified periods. These include USD 1.00 per share for the U.S. FDA approval of danicopan and USD 1.00 per share for ACH-5228 Phase III initiation. Alexion&rsquo;s acquisition of Achillion is subject to the approval of Achillion shareholders and satisfaction of customary closing conditions and approval from relevant regulatory agencies, including clearance under the Hart-Scott Rodino Antitrust Improvements Act. Pending these approvals, the transaction is expected to close in the first half of 2020.&lt;/p&gt;; ACH-2881 shares ACH-702’s novel target profile against bacterial DNA replication enzymes and has potent broad-spectrum activity. The compound demonstrated potent activity against multi-drug-resistant bacteria in a laboratory evaluation of recent clinical isolates obtained from infected patients, as well as in preclinical models of infection.; Achillion Pharmaceuticals was developing ACH-2881 for the treatment of serious bacterial infections including drug-resistant bacteria, particularly MRSA. As of 2011, the drug candidate was in pre-clinical stage of development. The company was seeking appropriate development partners for the development of ACH-2881. In 2011, the company reported that it has no plan to clinically advance ACH-2881 independently.; In April 2010, Achillion Pharmaceuticals, Inc was awarded research grant of USD 300,000 from National Institute of Allergy and Infectious Diseases (1R43AI085797-01) for the project entitled ""Novel Antibacterial Agents That Target DNA Replication in Mycobacterium Tuberculosis”";Inactive;Innovator;Preclinical;20-Jun-2011;;;;
;210726;ACP-005;;;Ascendis Pharma A/S;Central Nervous System;" Bipolar Disorder (Manic Depression); Schizophrenia";Inactive; Global;ACP005,ACP 005,TransCon Hydrogel Paliperidone,Paliperidone,;Subcutaneous;"5-Hydroxytryptamine Receptor 2A (5 HT2A or Serotonin Receptor 2A or HTR2A); D2 Dopamine Receptor (Dopamine D2 Receptor or DRD2)";"5-Hydroxytryptamine Receptor 2A (5 HT2A or Serotonin Receptor 2A or HTR2A) Antagonist; D2 Dopamine Receptor (Dopamine D2 Receptor or DRD2) Antagonist";Small Molecule;"N05AX Other antipsychotics; N06AX Other antidepressants";;;;;;Paliperidone (ACP-005) was under development for the treatment of schizophrenia and bipolar disorder. It is administered through subcutaneous route. The drug candidate targets dopamine Type 2 (D2) and serotonin Type 2 (5HT2A) receptors. The drug candidate is developed based on transCon hydrogel technology. Paliperidone is the primary active metabolite of the older antipsychotic risperidone.;ACP-005, a transCon hydrogel paliperidone is a selective blocking agent of monoamine effects. It binds strongly to serotonergic 5-HT2 and dopaminergic D2-receptors. These receptors mediates excitatory neurotransmission. The therapeutic activity of paliperidone in schizophrenia is mediated through a combination of central dopamine type 2 (D2) and serotonin Type 2 (5HT2) receptor antagonism. The drug candidate by antagonising the receptors alleviates the disease condition.;" &lt;p&gt;Ascendis Pharma A/S has completed the underwritten public offering of 3,800,000 American Depositary Shares (ADSs) at a price of USD 35.5 per ADS, for gross proceeds of USD 134.9 million. Each ADSs represents one ordinary share of the company. In addition, the company has granted the underwriters a 30-day option to purchase up to an additional 570,000 ADSs at the offer price, less the underwriting commissions. The company expects to receive net proceeds of approximately USD 126.1 million after deducting the underwriting commissions and estimated offering expenses. The company intends to use the proceeds to support clinical development, regulatory approval and commercial preparations for TransCon Growth Hormone, to fund development of other TransCon product candidates, including TransCon Parathyroid Hormone (PTH) and TransCon C-Type Natriuretic Peptide (CNP), to strengthen its TransCon technology and for working capital and general corporate purposes.&lt;/p&gt;; Ascendis Pharma A/S was engaged in the development of TransCon hydrogel paliperidone (ACP-005) for the treatment of schizophrenia and bipolar disorder. As of June 2012, the drug candidate was in preclinical stage of development.; The purpose of the preclinical study was to determine the PK profile of ACP-005 after single subcutaneous injection in pig. The preclinical study showed that ACP-005 had the superior PK profile. The drug candidate showed that the therapeutic plasma levels obtained within hours and non-variable plasma levels were within desired range. The drug candidate was administered subcutaneously with 30G needle.";Inactive;Innovator;Preclinical;01-Jun-2012;;;;
;210965;ACP-006;;;Ascendis Pharma A/S;Central Nervous System;" Parkinson's Disease; Restless Legs Syndrome";Inactive; Global;ACP 006,TransCon Hydrogel Pramipexole,ACP-006,;Subcutaneous;"D2 Dopamine Receptor (Dopamine D2 Receptor or DRD2); D3 Dopamine Receptor (Dopamine D3 Receptor or DRD3); D4 Dopamine Receptor (D2C Dopamine Receptor or Dopamine D4 Receptor or DRD4)";"D2 Dopamine Receptor (Dopamine D2 Receptor or DRD2) Agonist; D3 Dopamine Receptor (Dopamine D3 Receptor or DRD3) Agonist; D4 Dopamine Receptor (D2C Dopamine Receptor or Dopamine D4 Receptor or DRD4) Agonist";Small Molecule;N04BC Dopamine agonists;;;;;;TransCon hydrogel pramipexole (ACP-006) was under development for the treatment of Parkinson’s disease and restless leg syndrome. The drug candidate is administered subcutaneously. It targets dopamine receptors. The drug candidate is developed based on the TransCon hydrogel technology platform.;TransCon hydrogel pramipexole (ACP-006) is a dopamine agonist. The dopamine receptors are a class of metabotropic G protein coupled receptors that are prominent in the central nervous system (CNS) having dopamine as the neurotransmitter. Pramipexole is a nonergot dopamine agonist with high relative specificity and full intrinsic activity at the D2 subfamily of dopamine receptors, binding with higher affinity to D3 than to D2 or D4 receptor subtypes. The drug candidate binds to D2 and D3 dopamine receptors in the striatum and substantia nigra.;" &lt;p&gt;Ascendis Pharma A/S has completed the underwritten public offering of 3,800,000 American Depositary Shares (ADSs) at a price of USD 35.5 per ADS, for gross proceeds of USD 134.9 million. Each ADSs represents one ordinary share of the company. In addition, the company has granted the underwriters a 30-day option to purchase up to an additional 570,000 ADSs at the offer price, less the underwriting commissions. The company expects to receive net proceeds of approximately USD 126.1 million after deducting the underwriting commissions and estimated offering expenses. The company intends to use the proceeds to support clinical development, regulatory approval and commercial preparations for TransCon Growth Hormone, to fund development of other TransCon product candidates, including TransCon Parathyroid Hormone (PTH) and TransCon C-Type Natriuretic Peptide (CNP), to strengthen its TransCon technology and for working capital and general corporate purposes.&lt;/p&gt;; Ascendis Pharma A/S was developing ACP-006 for the treatment of Parkinson’s disease and restless leg syndrome. As of June 2012, the drug candidate was in preclinical stage of development.";Inactive;Innovator;Preclinical;01-Jun-2012;;;;
;353;AEZS-127;;;Aeterna Zentaris Inc;Oncology; Oncology;Inactive; Global;Erucylphosphocholine, ErPC, AEZS127, AEZS 127,ZEN-027,ZEN027,ZEN 027,;Intravenous;Protein Kinase B (PKB or AKT or EC 2.7.11.1);Protein Kinase B (PKB or AKT or EC 2.7.11.1) Inhibitor;Small Molecule;L01XE Protein kinase inhibitors;;;[(Z)-docos-13-enyl] 2-(trimethylazaniumyl)ethyl phosphate;"C27H56NO4P    
";"143317-74-2   
";AEZS-127 was under development for the treatment of cancer. AEZS-127 belongs to a new class of compounds based on alkylphosphocholines. It targets Akt- and Raf-Mek-Erk- signalling and interferes primarily with membranes of proliferating cells.;AEZS-127 inhibits the Akt and Raf-Mek-Erk- signalling and interferes primarily with membranes of proliferating cells. In tumor cells, AEZS-127 demonstrated interactions with vital signal transduction mechanisms and showed induction of programmed cell death (apoptosis). The Raf-MEK-ERK pathway couples growth factor, mitogenic and extracellular matrix signals to cell fate decisions such as growth, proliferation, migration, differentiation and survival. Raf-1 is a direct effector of the Ras GTPase and is the initiating kinase in this signalling cascade. AEZS-127 belongs to a new class of compounds based on alkylphosphocholines. Alkylphosphocholines are a new class of anticancer agents. Their mode of action is considered to be related to the inhibition of phospholipase C and protein kinase C. The alkylphosphocholines have inhibitory actions on protein kinase C (PKC) and phospholipase C.;" AEterna Zentaris was developing AEZS-127 for the treatment of multiple cancers. As of April 2011, the drug candidate was in preclinical stage of development.; In January 2005, AEterna Zentaris announced the initiation of pre-clinical development of erucylphosphocholine (AEZS-127), an analog of perifosine which is suitable for i.v. administration. AEZS-127 possesses distinctive reduced haemolytic activity thus allowing for i.v. injection. In 2006, studies for acute toxicity and dose range finding of erucylphosphocholine were actively pursued. The 4-week toxicity studies in rats and dogs as well as the safety pharmacology package was completed in 2007. These pre-clinical data are a prerequisite for the performance of a Phase I clinical study.; Keryx Biopharmaceutical, Inc. announced that it has terminated its licensing agreement with AEterna Zentaris, Inc. to develop and market AEZS-127.  Earlier on January 6, 2005, Keryx Biopharma entered into a licensing agreement with AEterna Zentaris to develop and market AEZS-127 in North America, South Africa, Israel, Australia and New Zealand. AEterna Zentaris retained the rights for the rest of the world.";Inactive;Innovator;Preclinical;28-Apr-2011;;Targeted Therapy;;
;258894;AIC-277;;;AiCuris GmbH & Co KG;Infectious Disease; Human Immunodeficiency Virus (HIV) Infections (AIDS);Inactive; Global;HIV Program2, HIV Program,HIV Program 2,AIC277 ,AIC 277 ,HIV NNRTI,;Parenteral;Reverse Transcriptase (EC 2.7.7.49);Reverse Transcriptase (EC 2.7.7.49) Inhibitor;Small Molecule;J05AG Non-nucleoside reverse transcriptase inhibitors;;;;;;AIC-277 (HIV program) was under development for the treatment of HIV/AIDS. It is administered parenterally. It acts by targeting non-nucleoside reverse transcriptase . The drug candudate is developed based on reversed genomics technologies.;The drug candidate is a non-nucleoside reverse transcriptase inhibitor. It works by targeting the structure of reverse transcriptase enzyme. By inhibiting the enzymatic activity necessary for reverse transcription, NNRTIs successfully interfere with a one of the steps of the HIV life-cycle and prevent the virus from being able to reproduce.;" AiCuris GmbH in collaboration with 4SC AG was developing AIC-277 for the treatment of human immunodeficiency virus (HIV) infection. As of January 2016, the drug candidates were in pre-clinical stage of development.; AiCuris GmbH reported that in lab trials, AIC277 has shown a very promising resistance profile compared to recently launched NNRTIs and is expected to offer high barrier to resistance. First data suggest that AIC277 is suitable for a long acting parental (LAP) application form.; In February 2008, the Martinsried drug discovery and development company 4SC AG and AiCuris GmbH & Co KG reported that they have entered into a research collaboration. The long-term goal of this collaboration is to jointly set-up a product pipeline with innovative, anti-infective drug candidates. It has been agreed in a first step that 4SC AG will, within the context of its collaboration business segment, provide extensive resources from its medicinal chemistry to AiCuris, for research purposes. In return 4SC AG is to receive relevant research funds, of an undisclosed amount, which are to be used for further development of its own project pipeline.; In Sept 2010, Aicuris Gmbh & Co. Kg filed a patent (US 12/884,113) entitled “Substituted pyrazolamides and their use “. The invention relates to novel substituted pyrazolamides, methods for their preparation, their use for the treatment and/or prophylaxis of diseases, as well as their use for the manufacture of medicaments for the treatment and/or prophylaxis of diseases, especially of retroviral diseases, in humans and/or animals.";Inactive;Innovator;Preclinical;08-Jan-2016;;;;
