;Drug Id;Drug Name;Generic Name;Brand Name;Company Name;Therapy Area;Indication;Development Stage;Drug Geography;Alias Name;Route of Administration;Target;Mechanism of Action;Molecule Type;ATC Classification;Immunotherapy;Line of Therapy;Chemical Name;Chemical Formula;CAS Number;Drug Description;Mechanism of Action Description;R&D Progress;Highest Development Stage;Drug Type;Last Development Stage;Inactive/Discontinued Date;Reason for Discontinuation;Drug Descriptor;Application Type;Rare Disease
;266137;347-PXN-0209;;;Priaxon AG;Oncology;" Hepatocellular Carcinoma; Melanoma; Multiple Myeloma (Kahler Disease); Non-Small Cell Lung Cancer";Inactive; Global;347PXN0209,Drug Targeting Mcl-1,Myeloid Leukemia Cell Differentiation Protein Inhibitor,Mcl-1 Inhibitor,347 PXN0209,347-PXN0209,;Oral;Induced Myeloid Leukemia Cell Differentiation Protein Mcl 1 (Bcl 2 Like Protein 3 or Bcl 2 Related Protein EAT/Mcl1 or BCL2L3 or MCL1);Induced Myeloid Leukemia Cell Differentiation Protein Mcl 1 (Bcl 2 Like Protein 3 or Bcl 2 Related Protein EAT/Mcl1 or BCL2L3 or MCL1) Inhibitor;Small Molecule;L01XX Other antineoplastic agents;;;;;;347-PXN- 0209 was under development for the treatment of several cancers including melanoma, non-small cell lung cancer (NSCLC), hepatocellular carcinoma and myeloma. It is administered orally and targets myeloid leukemia cell differentiation protein (Mcl-1). The small molecule is developed based on PriaXplore technology.;347-PXN0209 is a MCL-1 inhibitor. The induced myeloid leukemia cell differentiation protein (Mcl-1) inhibitors acts as an anti-cancer agents by inhibiting the Mcl1-BH3 interactions. Protein protein interactions (PPIs) are highly attractive targets for a variety of indications and become successors of kinases as prime targets for cancer. MCL1 mediates its effects by interactions with a number of other regulators of apoptosis. Myeloid cell leukemia 1 (Mcl-1) is overexpressed and amplified in various cancers and promotes the aberrant survival of tumor cells that otherwise undergo apoptosis.; Priaxon AG was developing 347-PXN-0209 for the treatment of several cancers including melanoma, non-small cell lung cancer (NSCLC), hepatocellular carcinoma and myeloma. As of July 2015, the drug candidate was in preclinical stage of development.;Inactive;Innovator;Preclinical;17-Jul-2015;;Targeted Therapy;;"Multiple Myeloma (Kahler Disease); Hepatocellular Carcinoma"
;45897;4SC-301;;;4SC AG;Infectious Disease;" Hepatitis C; Unspecified Influenza Virus Infections; Viral Infections";Inactive; Global;4SC301,4SC 301,SC75741,SC 75741,SC-75741,;"Intravenous; Oral";Nuclear Factor Kappa B (NFKB);Nuclear Factor Kappa B (NFKB) Inhibitor;Small Molecule;J05AP Antivirals for treatment of HCV infections;;;;;;4SC-301 was under development for the treatment of viral infections including acute influenza infections and Hepatitis C. It is administered through oral and intravenous route. The drug candidate targets nuclear factor kappa B. The drug candidate is developed based on 4SCan technology.;4SC-301 acts as nuclear factor kappa B (NFKB). NFkB is a signal transcription factor which is an important modulator of altered gene programs. The drug candidate blocks the nuclear factor kappa-light-chain-enhancer of activated B cells signaling pathway and thus prevents the virus from spreading. The substance prevents the multiplication of influenza viruses, and consequently the infection of further cells.;" &lt;p&gt;4SC AG, announced that it has completed the rights offering of 4,676,703 shares of its common stock at a price of EUR2.37 (USD2.68) per share, for gross proceeds of EUR11.08 million (USD12.53 million). The shares were offered to the existing shareholders. The subscription ratio was 2:1, which means 2 existing shares entitle the holder to subscribe for 1 new share. The new shares are anticipated to be admitted to trading on 4 July 2019 after registration of the implementation of the capital increase with the commercial register, which is expected to be made on 2 July 2019. MainFirst Bank AG acted as European Bookrunner in the offering.&lt;/p&gt;; 4SC AG was developing 4SC-301 for the treatment of viral infections including acute influenza infections and hepatitis C. As of June 2009, the drug candidate was in pre-clinical stage of development.; In July 2005, 4SC AG filed a patent with application (PCT/EP2005/008261) entitled “Novel heterocyclic nf-&kappa;b inhibitors"". The invention relates to novel heterocyclic compounds general formula or a salt or a physiologically functional derivative or a stereoisomer and pharmaceutical compositions containing such compounds, for use in the treatment of NF-&kappa;B pathway-associated disorders.";Inactive;Innovator;Preclinical;30-Jun-2009;;;;
;322247;50F-10;;;Lipigon Pharmaceuticals AB;Metabolic Disorders; Dyslipidemia;Inactive; Global;50F10,50 F10,50-F10,;Oral;Lipoprotein Lipase (LPL or EC 3.1.1.34);Lipoprotein Lipase (LPL or EC 3.1.1.34) Activator;Small Molecule;C10AX Other lipid modifying agents;;;;;;50F-10 was under development for the treatment of dyslipidemia. It is administered orally. The drug candidate targets lipoprotein lipase enzyme.;50F-10 acts by activating the lipoprotein lipase (LPL) enzyme and enhancing the hydrolysis of triglyceride-rich lipoproteins. The drug candidate exhibits therapeutic action by converting very-low-density lipoprotein (VLDL) to low-density lipoprotein (LDL) resulting in the reduction of the levels of triglycerides and increases the high-density lipoprotein levels. This leads to prevention of dyslipidemia.;" Discovery studies revealed that the drug candidate (50-F10) retained the active homodimer structure of lipoprotein lipase (LPL) which is essential for lipid metabolism. Preclinical studies showed that on injection of the drug candidate to a lipoprotein deficit mice, the compound increased the postprandial response and thus is considered to decrease the risk associated with high triglycrides level in plasma.; In November 2014, Lipigon Pharmaceuticals and AstraZeneca entered into a research collaboration to develop a high throughput assay for the identification of molecules that modulate lipoprotein lipase activity. Under the terms of the agreement, the companies will work together to develop a high throughput assay by employing Lipigon’s screening platform for the identification ofsmall molecules that promote the stabilization of LPL. Lipigon will receive upfront payment and milestone payments from AstraZeneca.; Lipigon Pharmaceuticals AB (spin-out from Umea University) was developing 50F-10 for the treatment of dyslipidemia. As of June 2014, the drug candidate was in preclinical stage of development.";Inactive;Innovator;Preclinical;28-Jun-2014;;;;
;279155;A-1048400;;;AbbVie Inc;Central Nervous System;" Inflammatory Pain; Neuropathic Pain (Neuralgia)";Inactive; Global;A1048400, A 1048400,;Oral;"Voltage Dependent N Type Calcium Channel Subunit Alpha 1B (Voltage Gated Calcium Channel Subunit Alpha Cav2.2 or Brain Calcium Channel III or CACNA1B); Voltage Dependent T Type Calcium Channel";"Voltage Dependent N Type Calcium Channel Subunit Alpha 1B (Voltage Gated Calcium Channel Subunit Alpha Cav2.2 or Brain Calcium Channel III or CACNA1B) Blocker; Voltage Dependent T Type Calcium Channel Blocker";Small Molecule;N02 ANALGESICS;;;(1-[2-(4-benzhydryl-piperazin-1-yl)-2-oxo-ethyl]-3,3-diphenyl-piperidin-2-one);;;A-1048400 was under development for treatment of pain including neuropathic pain and inflammatory pain.It is administered through oral route. The drug candidate comprises of diphenylmethylpiperazine moiety. It acts by targeting voltage-dependent N type and T type calcium channel.;A-1048400 acts as voltage-dependent N type and T type calcium channel blocker. Blockade of voltage-gated Ca2+ channels on sensory nerves diminish the neurotransmitter release and brings down the membrane hyperexcitability associated with painful states. The drug candidate block calcium channels and diminishes the release of calcium ions, which plays an important role in the regulation of pain sensitivity. A-1048400 may exhibit therapeutic intervention by checking the underlying cause of disease progression.;" AbbVie Inc. (spin off from Abbott) was developing A-1048400 for the treatment of pain including neuropathic pain and inflammatory pain. As of February 2012, the drug candidate was in preclinical stage of development.; In February 2012, Abbott Laboratories reported that A-1048400 is an orally active, state-dependent neuronal calcium channel blocker that produces dose-dependent antinociception without altering hemodynamic function in rats. The drug candidate was evaluated for antinociceptive effect by both invitro and invivo studies. The drug candidate’s dose dependent inhibition on potassium chloride (KCl)-evoked Ca2+ influx at N-type Ca2+ channels endogenously expressing in IMR32 cells, was assessed using FLIPR based Ca2+ flux assay. The drug candidate was less effective in blocking the L-type Ca2+ channels. The drug candidate was involved in various in vivo studies like capsaicin-induced secondary mechanical hyperalgesia, monosodium iodoacetate (MIA) induced osteoarthritis pain, complete Freund's adjuvant (CFA)-induced inflammatory pain and Chronic constriction injury (CCI)-induced neuropathic pain model for evaluating the nociceptive effect. The drug candidate dose-dependently reversed tactile allodynia in a model of capsaicin-induced secondary hypersensitivity. The drug candidate also blocks recombinant human calcium channels in a voltage-dependent fashion. In monosodium iodoacetate (MIA) induced osteoarthritis pain model, the grip strength was assessed and it was revealed that the drug candidate has antinociceptive results. In CFA induced inflammatory model and CCI-induced neuropathic pain model mechanical allodynia was assessed and it was revealed that the drug candidate has significant antinociceptive results. Motor co-ordination effect also evaluated for the drug candidate. In all experimental pain models, the drug candidate dose-dependently attenuated nociceptive, neuropathic and inflammatory pain at doses that did not alter psychomotor or hemodynamic function.";Inactive;Innovator;Preclinical;29-Feb-2012;;;;
;248861;A-357300;;;AbbVie Inc;Oncology;" Carcinomas; Neuroblastoma; Sarcomas";Inactive; Global;A357300,A 357300,;Oral;Methionine Aminopeptidase 2 (Initiation Factor 2 Associated 67 kDa Glycoprotein or Peptidase M 2 or eIF 2 Associated p67 Homolog or METAP2 or EC 3.4.11.18);Methionine Aminopeptidase 2 (Initiation Factor 2 Associated 67 kDa Glycoprotein or Peptidase M 2 or eIF 2 Associated p67 Homolog or METAP2 or EC 3.4.11.18) Inhibitor;Small Molecule;L01XX Other antineoplastic agents;;;N'-[(2S,3R)-3-amino-2-hydroxy-5-propan-2-ylsulfanylpentanoyl]-3-chlorobenzohydrazide;C15H22ClN3O3S;;A-357300 was under development for the treatment of carcinomas, sarcomas, and neuroblastoma. It is administered through oral route. The drug candidate acts by targeting methionine aminopeptidase 2 (METAP2).;A-357300 acts as a reversible methionine aminopeptidase type 2 (MetAP2) inhibitor. Reversible inhibition of MetAP2 can lead to suppression of tumor growth. A-357300, induces cytostasis by cell cycle arrest at the G1 phase in endothelial cells and certain tumor cells. It blocks angiogenesis and shows potent antitumor efficacy. MetAP2 inhibition causes growth arrest but not cell death to tumor cells while having perhaps a broader antitumor effect because of inhibition of angiogenesis. A-357300 may also block growth factor induced neovessel formation in angiogenesis.;" Abbott Laboratories reported that A-357300 inhibited in vitro catalytic activity of methionine aminopeptidase-2 (MetAP2) and effective in blocking angiogenesis and tumor growth in pre-clinical models. A-357300 also inhibited angiogenesis both in vitro and in vivo and shows potent antitumor efficacy in carcinoma, sarcoma, and neuroblastoma murine models.; Abbvie Inc (spin-off of Abbott Laboratories) was developing A-357300 for the treatment of carcinomas, sarcomas, and neuroblastoma. As of 2007, the drug candidate was in pre-clinical stage of development.";Inactive;Innovator;Preclinical;20-Dec-2007;;Targeted Therapy;;Neuroblastoma
;265389;A-705253;;;AbbVie Inc;Central Nervous System; Alzheimer's Disease;Inactive; Global;A705253,A 705253,;Oral;Calcium Activated Neutral Protease (Calpain or CANP or CAPN or EC 3.4.22.);Calcium Activated Neutral Protease (Calpain or CANP or CAPN or EC 3.4.22.) Inhibitor;Small Molecule;"N06DX Other anti-dementia drugs; N07BB Drugs used in alcohol dependence";;;N-(1-benzyl-2-carbamoyl-2-oxoethyl)-2-[E-2-(4-diethlyaminomethylphenyl) ethen-1-yl]benzamide ;C30H33N3O3;;A-705253 was under development for the treatment of alcohol addiction. The drug candidate is administered through oral route. It is a small molecule calpain inhibitor. It was also under development for the treatment of Alzheimer's disease (AD).;A-705253 is a calpain inhibitor. Calpains are cysteine proteinases that selectively cleave proteins in response to calcium signals. Exacerbated activation of calpain has been implicated as a major component in the signaling cascade that leads to beta-amyloid (Abeta) production and tau hyperphosphorylation in Alzheimer's disease (AD). Calpain inhibition has potential utility in reducing tau hyperphosphorylation. The drug candidate inhibit calpain and prevent neurodegenerative disorders such as Alzheimer's disease (AD).;" AbbVie Inc. (spin-off from Abbott) was developing A-705253. As of July 2015, the drug candidate was in preclinical stage of development for the treatment of alcohol addiction. As of August 2012, it was in preclinical stage for the treatment of Alzheimer's disease.; AbbVie Inc. reported in vitro and in vivo study of A-705253. In hippocampal slices in vitro, lowering medium temperature to 33°C increased tau phosphorylation in which incubation with A-705253 blocked low temperature-induced tau phosphorylation. Pentobarbital-induced hypothermia or acute systemic LPS treatment in normal mice increased tau phosphorylation in hippocampal CA3 mossy fibers, as measured by immunohistochemistry, whereas acute A-705253 pretreatment prevented the stress-induced tau hyperphosphorylation in both models.The company reported that inhibition of calpain by A-705253 and the peptidic calpain inhibitor N-acetyl-Leu-Leu-Nle-CHO did not impair long-term potentiation in hippocampal slices, indicating that calpain inhibition interrupts NMDA excitotoxicity pathways without interfering with NMDA receptor-mediated signaling involved in cognition. We conclude that inhibition of calpains may represent a valuable strategy for the prevention of excitotoxicity-induced neuronal decline without interfering with the physiological neuronal functions associated with learning and memory processes.The calpain inhibitor A-705253 (3-10?mg/kg) was tested in a model of cue-induced reinstatement of alcohol-seeking behavior in post-dependent Wistar rats and in an alcohol deprivation effect (ADE) model in long-term alcohol drinking Wistar rats, two behavioral models for alcohol-seeking and relapse, respectively. They also tested the effect of A-705253 on the saccharine deprivation effect (SDE) as a selectivity measure. Acute treatment with A-705253 dose-dependently reduced cue-induced reinstatement of alcohol-seeking behavior. Repeated administration of A-705253 caused significant reductions of relapse-like excessive alcohol intake during the post-abstinence drinking days, an effect that persisted during two more successive drug-free drinking weeks, which was selective for the ADE as the SDE was unaffected. These results demonstrated the involvement of calpains in alcohol-seeking and relapse and present a rationale that reduces craving and relapse with minimal side effects in alcohol-dependent patients.; In December 2014, AbbVie Deutschland GmbH & Co. KG, Abbvie Inc. filed a patent with applicatio no (US 14/570,996) entitled ""Carboxamide compounds and their use as calpain inhibitors."" The invention relates to carboxamide compounds for treating a disorder associated with an elevated calpain activity.";Inactive;Innovator;Preclinical;31-Aug-2012;;;;
;265389;A-705253;;;AbbVie Inc;Central Nervous System; Alcohol Addiction;Inactive; Global;A705253,A 705253,;Oral;Calcium Activated Neutral Protease (Calpain or CANP or CAPN or EC 3.4.22.);Calcium Activated Neutral Protease (Calpain or CANP or CAPN or EC 3.4.22.) Inhibitor;Small Molecule;"N06DX Other anti-dementia drugs; N07BB Drugs used in alcohol dependence";;;N-(1-benzyl-2-carbamoyl-2-oxoethyl)-2-[E-2-(4-diethlyaminomethylphenyl) ethen-1-yl]benzamide ;C30H33N3O3;;A-705253 was under development for the treatment of alcohol addiction. The drug candidate is administered through oral route. It is a small molecule calpain inhibitor. It was also under development for the treatment of Alzheimer's disease (AD).;A-705253 is a calpain inhibitor. Calpains are cysteine proteinases that selectively cleave proteins in response to calcium signals. Exacerbated activation of calpain has been implicated as a major component in the signaling cascade that leads to beta-amyloid (Abeta) production and tau hyperphosphorylation in Alzheimer's disease (AD). Calpain inhibition has potential utility in reducing tau hyperphosphorylation. The drug candidate inhibit calpain and prevent neurodegenerative disorders such as Alzheimer's disease (AD).;" AbbVie Inc. (spin-off from Abbott) was developing A-705253. As of July 2015, the drug candidate was in preclinical stage of development for the treatment of alcohol addiction. As of August 2012, it was in preclinical stage for the treatment of Alzheimer's disease.; AbbVie Inc. reported in vitro and in vivo study of A-705253. In hippocampal slices in vitro, lowering medium temperature to 33°C increased tau phosphorylation in which incubation with A-705253 blocked low temperature-induced tau phosphorylation. Pentobarbital-induced hypothermia or acute systemic LPS treatment in normal mice increased tau phosphorylation in hippocampal CA3 mossy fibers, as measured by immunohistochemistry, whereas acute A-705253 pretreatment prevented the stress-induced tau hyperphosphorylation in both models.The company reported that inhibition of calpain by A-705253 and the peptidic calpain inhibitor N-acetyl-Leu-Leu-Nle-CHO did not impair long-term potentiation in hippocampal slices, indicating that calpain inhibition interrupts NMDA excitotoxicity pathways without interfering with NMDA receptor-mediated signaling involved in cognition. We conclude that inhibition of calpains may represent a valuable strategy for the prevention of excitotoxicity-induced neuronal decline without interfering with the physiological neuronal functions associated with learning and memory processes.The calpain inhibitor A-705253 (3-10?mg/kg) was tested in a model of cue-induced reinstatement of alcohol-seeking behavior in post-dependent Wistar rats and in an alcohol deprivation effect (ADE) model in long-term alcohol drinking Wistar rats, two behavioral models for alcohol-seeking and relapse, respectively. They also tested the effect of A-705253 on the saccharine deprivation effect (SDE) as a selectivity measure. Acute treatment with A-705253 dose-dependently reduced cue-induced reinstatement of alcohol-seeking behavior. Repeated administration of A-705253 caused significant reductions of relapse-like excessive alcohol intake during the post-abstinence drinking days, an effect that persisted during two more successive drug-free drinking weeks, which was selective for the ADE as the SDE was unaffected. These results demonstrated the involvement of calpains in alcohol-seeking and relapse and present a rationale that reduces craving and relapse with minimal side effects in alcohol-dependent patients.; In December 2014, AbbVie Deutschland GmbH & Co. KG, Abbvie Inc. filed a patent with applicatio no (US 14/570,996) entitled ""Carboxamide compounds and their use as calpain inhibitors."" The invention relates to carboxamide compounds for treating a disorder associated with an elevated calpain activity.";Inactive;Innovator;Preclinical;28-Jul-2015;;;;
;274373;A-848837;;;AbbVie Inc;Infectious Disease; Hepatitis C;Inactive; Global;A848837,A 848837,;Oral;NS5B (Nonstructural Protein 5B Polymerase or EC 2.7.7.48);NS5B (Nonstructural Protein 5B Polymerase or EC 2.7.7.48) Inhibitor;Small Molecule;J05AP Antivirals for treatment of HCV infections;;;N-[(3Z)-3-[(4S)-4-(3,3-dimethylbutyl)-4-methyl-1-oxo-3H-naphthalen-2-ylidene]-1,1-dioxo-4H-1 delta 6,2,4-benzothiadiazin-7-yl]methanesulfonamide;C25H31N3O5S2;847442-91-5;A-848837 was under development for the treatment of Hepatitis C. The drug candidate is administered through oral route. The drug candidate acts by targeting nonstructural protein 5B polymerase (NS5B).;The drug candidate acts as NS5B polymerase inhibitor. Inhibition of NS5B polymerase (a RNA-dependent RNA polymerase ) activity results in the loss of transcriptional silencing and heterochromatin at centromeres, together with defects in mitotic chromosome segregation and telomere clustering. Thus the drug candidate inhibits the replication of the viral HCV RNA genome which results inhibition of growth and proliferation of vial particles.;" AbbVie Inc. (spun-off from Abbott Laboratories) was developing A-837093 for the treatment of hepatitis C. As of April 2007, the drug candidate was in preclinical stage of development.; The company reported that antiviral efficacy of the nonnucleoside HCV polymerase inhibitor A-848837 in the HCV Infected Chimpanzee. In April 2007, AbbVie reported the characterization of pharmacokinetic/pharmacodynamic parameters for the novel HCV polymerase inhibitor A-848837. The objective of the study was to characterize the development of resistance both in vitro and in chimpanzees with the HCV polymerase inhibitor A-848837, identify the lowest effective dose of A-848837 in the chimpanzee model, define PK/PD relationship in the chimpanzee and estimate efficacious plasma concentrations in humans. The study reported that A-848837 is a highly potent inhibitor of HCV genotypes 1a and 1b. In October 2006, AbbVie reported the in vitro antiviral effects of combinations of Abbott HCV polymerase inhibitors with IFN or NS3/4A protease inhibitors. the study concluded that long-term treatments of 1b-N replicon cells with A-837093 or A-848837 in combination with IFN exhibited an enhanced antiviral effect, compared to single compound treatments and complete elimination of HCV replicon RNA within 12 days.";Inactive;Innovator;Preclinical;15-Apr-2007;;;;
;341749;AB-421;;;Arcus Biosciences Inc;Oncology; Oncology;Inactive; Global;CD73 Inhibitor,AB 421,AB421,;"Intravenous; Oral";5' Nucleotidase (Ecto 5' Nucleotidase or CD73 or NT5E or EC 3.1.3.5);5' Nucleotidase (Ecto 5' Nucleotidase or CD73 or NT5E or EC 3.1.3.5) Inhibitor;Small Molecule;L01XX Other antineoplastic agents;Immunomodulatory Enzyme Inhibitor;;;;;AB-421 was under development for the treatment of cancer. The drug candidate administered intravenously and oral. The drug candidate acts by targeting CD73.;AB-421 act as CD73 inhibitor. CD73 is expressed on both regulatory T cells and tumor cells. It promotes the immune-suppression through the pathway degrading ATP into adenosine. ATP promotes immune cell-mediated killing of cancer cells. In contrast, adenosine accumulation causes immune suppression and dysregulation of immune cell infiltrates resulting in tumor spreading. The drug candidate there by blocking of CD73, stimulates the anti-tumor immunity.;" &lt;p&gt;Arcus Biosciences Inc announced the public offering of shares of common stock, to raise gross proceeds of up to USD75 million. The company intends to use the proceeds for working capital, capital expenditures and other general corporate purposes, which may include costs of funding future acquisitions.&lt;/p&gt;; Arcus Biosciences was developing AB-421 for the treatment of cancer. As of September 2017, the drug candidate is in preclinical stage of development.; Company reported the efficacy of novel CD73 small molecule inhibitors using experimental tumor models. The results demonstrated that they have identified selective and potent small molecule CD73 inhibitors that effectively blocked the generation of ADO from extracellular ATP, reversed the ADO-driven inhibition of human and mouseT-cell activation, and showed promising anti-tumor activity when dosed in combination with PD-1 blockade.; In September 2016, Arcus Biosciences, Inc raised an additional USD 70 million in equity capital from Taiho Ventures, GV, Invus, DROIA Oncology Ventures and Stanford University, together with its Series A investors, including The Column Group, Foresite Capital, Novartis and Celgene. This funding allows Arcus to continue its rapid drug development activities for the small molecule and antibody immuno-oncology approaches with the goal of building its own internal combinations.; Taiho Pharmaceutical Co Ltd announced that it has entered into an option and licensing agreement with Arcus Biosciences Inc for the potential development and commercialization of product candidates in Arcus Biosciences’ portfolio in Japan and certain other territories in Asia (excluding China). Under the terms of the agreement, Arcus Biosciences will receive USD35 million in payments during the first three years of the agreement. In return for these payments, Taiho Pharma will receive an option to in-license the development and commercialization rights in its region to clinical stage product candidates from Arcus Biosciences’ portfolio over a five-year term. For any product candidate for which Taiho Pharma exercises a license, Arcus Biosciences will receive an option payment and is eligible to receive up to USD275 million in development, regulatory and commercial milestone payments per molecule. Arcus Biosciences is also eligible to receive royalties on the net sales of each product candidate that Taiho Pharma commercializes in its region ranging from the high single digits to mid-double digits.";Inactive;Innovator;Preclinical;07-Sep-2017;;Targeted Therapy;;
;299295;ABC-747080;;;Apogee Biotechnology Corp;Musculoskeletal Disorders; Arthritis;Inactive; Global;ABC747080 ,ABC 747080 ,;Oral;Sphingosine Kinase (SPHK or EC 2.7.1.91);Sphingosine Kinase (SphK or EC 2.7.1.91) Inhibitor;Small Molecule;"A07E INTESTINAL ANTIINFLAMMATORY AGENTS; M09AX Other drugs for disorders of the musculo-skeletal system";;;butyric acid 4-(2-[4-(4-chlorophenyl)thiazol-2-ylcarbamoyl]-vinyl)-2-methoxy-phenyl ester ;;;ABC-747080 was under development for the treatment of inflammatory bowel disease, ulcerative colitis and arthritis. The drug candidate is administered through oral route. It acts by targeting sphingosine kinase (SPHK).;ABC-747080 acts as sphingosine kinase (SPHK) inhibitor. Sphingosine kinase produces sphingosine-1-phosphate which promotes mitogenesis, concurrently depletes ceramide and thereby inhibits apoptosis. The drug candidate by inhibiting sphingosine kinase activity prevents the release of inflammatory cytokines particularly TNF alpha and IL-1 beta and inhibits aberrant activation of macrophages, mast cells, neutrophils, endothelial cells, chondrocytes and synovial cells. This leads to the inhibition of cell proliferation and induction of apoptosis.;" Apogee Biotechnology Corporation reported that ABC-747080 inhibited TNFalpha-induced adhesion molecule expression and TNFalpha-induced prostaglandin synthesis in endothelial cells. They conducted experiments with sphingosine kinase inhibitors using the dextran sulfate sodium (DSS) model of inflammatory bowel disease (IBD) which showed reduced intensity of IBD manifestations and reduced disease activity index of mice receiving DSS. The anti-arthritis activity of ABC747080 was assessed in the Collagen-Induced Arthritis (CIA) model which demonstrated reduced inflammation response. ABC294640 showed sphingosine kinase inhibitory activity in the acute model of DSS-induced ulcerative colitis utilized male C57BL/6 mice without systemic toxicity and has been examined for their effects on TNF alpha-mediated cell activation.; Apogee Biotechnology Corporation was developing ABC-747080. As of May 2006, the drug candidate was in preclinical stage of development for arthritis. As of August 2006, it was in preclinical stage of development for inflammatory bowel disease. As of December 2007, the drug candidate was in preclinical stage of development for ulcerative colitis.; During September 2005 to August 2007, Apogee Biotechnology Corporation was awarded research grant of USD 176,603, USD 819,846, and USD 874,563 from National Institute of Diabetes and Digestive and Kidney Diseases (1R43DK071395-01A1, 2R44DK071395-02, and 5R44DK071395-03) for the project entitled “Sphingosine Kinase Inhibitors as Anti-Ibd Agents.”During July 2003 to June 2004, Apogee Biotechnology Corporation was awarded research grant of USD 223,108 and USD 250,000 from National Cancer Institute (1R43CA097833-01A2 and 5R43CA097833-02) for the project entitled “Novel Inhibitors of Sphingosine Kinase”.";Inactive;Innovator;Preclinical;19-May-2006;;;;
