,name,status,mass,targets
DB00001,Lepirudin,approved,-1.0,1
DB00002,Cetuximab,approved,-1.0,12
DB00003,Dornase alfa,approved,-1.0,1
DB00004,Denileukin diftitox,approved;investigational,-1.0,3
DB00005,Etanercept,approved;investigational,-1.0,14
DB00006,Bivalirudin,approved;investigational,2180.2853,1
DB00007,Leuprolide,approved;investigational,-1.0,1
DB00008,Peginterferon alfa-2a,approved;investigational,-1.0,2
DB00009,Alteplase,approved,-1.0,4
DB00010,Sermorelin,approved;withdrawn,-1.0,1
DB00011,Interferon alfa-n1,approved;investigational,-1.0,2
DB00012,Darbepoetin alfa,approved;investigational,-1.0,1
DB00013,Urokinase,approved;investigational;withdrawn,-1.0,10
DB00014,Goserelin,approved,1269.4105,2
DB00015,Reteplase,approved;investigational,-1.0,4
DB00016,Erythropoietin,approved,-1.0,1
DB00017,Salmon Calcitonin,approved;investigational,-1.0,1
DB00018,Interferon alfa-n3,approved;investigational,-1.0,2
DB00019,Pegfilgrastim,approved,-1.0,2
DB00020,Sargramostim,approved;investigational,-1.0,5
DB00022,Peginterferon alfa-2b,approved,-1.0,2
DB00023,Asparaginase Escherichia coli,approved;investigational,-1.0,1
DB00024,Thyrotropin alfa,approved;vet_approved,-1.0,1
DB00025,"Antihemophilic factor, human recombinant",approved;investigational,-1.0,11
DB00026,Anakinra,approved,-1.0,1
DB00027,Gramicidin D,approved,1811.253,0
DB00028,Immune Globulin Human,approved;investigational,-1.0,11
DB00029,Anistreplase,approved,-1.0,4
DB00030,Insulin Human,approved;investigational,-1.0,3
DB00031,Tenecteplase,approved,-1.0,11
DB00032,Menotropins,approved,-1.0,2
DB00033,Interferon gamma-1b,approved;investigational,-1.0,2
DB00034,"Interferon Alfa-2a, Recombinant",approved;investigational,-1.0,2
DB00035,Desmopressin,approved,1069.217,3
DB00036,Coagulation factor VIIa Recombinant Human,approved,-1.0,6
DB00038,Oprelvekin,approved;investigational,-1.0,1
DB00039,Palifermin,approved,-1.0,6
DB00040,Glucagon,approved,-1.0,3
DB00041,Aldesleukin,approved,-1.0,3
DB00042,Botulinum Toxin Type B,approved;investigational,-1.0,3
DB00043,Omalizumab,approved;investigational,-1.0,2
DB00044,Lutropin alfa,approved,-1.0,1
DB00045,Lyme disease vaccine (recombinant OspA),approved;withdrawn,-1.0,1
DB00046,Insulin Lispro,approved,-1.0,2
DB00047,Insulin glargine,approved,-1.0,2
DB00048,Collagenase clostridium histolyticum,approved;investigational,-1.0,4
DB00049,Rasburicase,approved;investigational,-1.0,1
DB00050,Cetrorelix,approved;investigational,1431.038,2
DB00051,Adalimumab,approved,-1.0,1
DB00052,Somatotropin,approved;investigational,-1.0,2
DB00053,Imiglucerase,approved,-1.0,1
DB00054,Abciximab,approved,-1.0,14
