,name,organism,GenBank_ID,UniProt_ID,drugs,drugs_num
BE0000102,"Alanine--glyoxylate aminotransferase 2, mitochondrial",Humans,AJ292204,Q9BYV1,DB00114,1
BE0000378,Glutamate decarboxylase 1,Humans,M81883,Q99259,DB00114; DB00142,2
BE0000323,Cystathionine beta-synthase,Humans,L19501,P35520,DB00114; DB00118; DB00133; DB00151,4
BE0000392,Kynureninase,Humans,U57721,Q16719,DB00114; DB07069,2
BE0000331,"Serine hydroxymethyltransferase, cytosolic",Humans,L11931,P34896,DB00114; DB00116; DB01055; DB02067; DB02800; DB02824,6
BE0000151,"Cysteine desulfurase, mitochondrial",Humans,AF097025,Q9Y697,DB00114; DB00151,2
BE0000529,"Aspartate aminotransferase, cytoplasmic",Humans,M37400,P17174,DB00114; DB00128; DB00142; DB00151; DB04299,5
BE0000424,"Ornithine aminotransferase, mitochondrial",Humans,M12267,P04181,DB00114; DB00129; DB02054; DB02821,4
BE0000404,Ornithine decarboxylase,Humans,M16650,P11926,DB00114; DB00127; DB02209; DB02824; DB03856; DB04083; DB04263; DB06243,8
BE0000727,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",Humans,AF097994,Q8N5Z0,DB00114; DB00142,2
BE0000253,"4-aminobutyrate aminotransferase, mitochondrial",Humans,L32961,P80404,DB00114; DB00142; DB00780; DB01080; DB01699; DB04235,6
BE0000181,Pyridoxine-5'-phosphate oxidase,Humans,AF468030,Q9NVS9,DB00114; DB03247,2
BE0000778,Sphingosine-1-phosphate lyase 1,Humans,AJ011304,O95470,DB00114,1
BE0000692,Tyrosine aminotransferase,Humans,X52520,P17735,DB00114; DB00120; DB00135; DB00142,4
BE0000273,Kynurenine--oxoglutarate transaminase 1,Humans,X82224,Q16773,DB00114; DB02142; DB02556; DB04083; DB07950,5
BE0000482,Threonine synthase-like 1,Humans,BC035132,Q8IYQ7,DB00114; DB00156,2
BE0000007,"Glycogen phosphorylase, liver form",Humans,M14636,P06737,DB00114; DB00131; DB02089; DB02320; DB02379; DB03288; DB03496; DB03744; DB04522; DB07315; DB07395; DB07396; DB07968; DB08844,14
BE0000660,Serine palmitoyltransferase 2,Humans,Y08686,O15270,DB00114; DB00133,2
BE0000079,Cysteine sulfinic acid decarboxylase,Humans,AF116546,Q9Y600,DB00114; DB00151,2
BE0000002,Histidine decarboxylase,Humans,X54297,P19113,DB00114; DB00117,2
BE0000448,Arginine decarboxylase,Humans,AY050634,Q96A70,DB00114; DB00125,2
BE0000164,L-serine dehydratase/L-threonine deaminase,Humans,J05037,P20132,DB00114; DB00133,2
BE0000518,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",Humans,AF077740,O75600,DB00114,1
BE0000618,"Glycine dehydrogenase [decarboxylating], mitochondrial",Humans,M63635,P23378,DB00114,1
BE0000667,Alanine aminotransferase 1,Humans,U70732,P24298,DB00114; DB00142; DB00780,3
BE0000603,Phosphoserine aminotransferase,Humans,AF113132,Q9Y617,DB00114; DB00142,2
BE0000409,"5-aminolevulinate synthase, nonspecific, mitochondrial",Humans,X56351,P13196,DB00114,1
BE0000316,Serine--pyruvate aminotransferase,Humans,X56092,P21549,DB00114; DB00133; DB04083; DB08060,4
BE0000278,Pyridoxal phosphate phosphatase,Humans,AY125047,Q96GD0,DB00114,1
BE0000441,Serine palmitoyltransferase 1,Humans,Y08685,O15269,DB00114; DB00133,2
BE0000791,Cystathionine gamma-lyase,Humans,S52784,P32929,DB00114; DB00151; DB02328; DB03928,4
BE0000517,"Branched-chain-amino-acid aminotransferase, cytosolic",Humans,U21551,P54687,DB00114; DB00142; DB00149; DB00161; DB00167; DB07544,6
BE0000721,"Branched-chain-amino-acid aminotransferase, mitochondrial",Humans,U68418,O15382,DB00114; DB00142; DB00149; DB00167; DB02142; DB02635; DB04074,7
BE0002149,Proline synthase co-transcribed bacterial homolog protein,Humans,AB018566,O94903,DB00114; DB00172,2
BE0000822,Formimidoyltransferase-cyclodeaminase,Humans,AF169017,O95954,DB00114; DB00116; DB00142; DB03256,4
BE0000383,"Aspartate aminotransferase, mitochondrial",Humans,M22632,P00505,DB00114; DB00128; DB00142; DB02783,4
BE0002150,"Glycogen phosphorylase, brain form",Humans,J03544,P11216,DB00114; DB03496,2
BE0000916,"Glycogen phosphorylase, muscle form",Humans,M32598,P11217,DB00114; DB01823; DB01843; DB02007; DB02320; DB02379; DB02447; DB02471; DB02519; DB02604; DB02719; DB02720; DB02843; DB02964; DB03067; DB03133; DB03218; DB03250; DB03286; DB03354; DB03383; DB03392; DB03479; DB03496; DB03657; DB03835; DB04013; DB04044; DB04055; DB04083; DB04195; DB04295; DB04522; DB04544; DB04566; DB04642; DB04643; DB04644; DB04645; DB06986; DB07066; DB07792; DB07793; DB07807; DB07949; DB08151; DB08322; DB08500; DB08503,49
BE0002151,Aromatic-L-amino-acid decarboxylase,Humans,M76180,P20711,DB00114; DB00190; DB00968; DB12783,4
BE0002152,Aspartate aminotransferase,Humans,AY513279,Q2TU84,DB00114; DB00128; DB00142,3
BE0002154,Serine hydroxymethyltransferase,Humans,AK223555,Q53ET4,DB00114; DB00116,2
BE0002155,Selenocysteine lyase variant,Humans,AB209458,Q59FK2,DB00114,1
BE0002156,Phosphorylase,Humans,AB209080,Q59GM9,DB00114,1
BE0002157,Ornithine aminotransferase variant,Humans,AB208817,Q59HE2,DB00114,1
BE0002158,5-aminolevulinate synthase,Humans,AY260745,Q5JAM2,DB00114,1
BE0002159,"Glutamate decarboxylase 2 (Pancreatic islets and brain, 65kDa)",Humans,AL162503,Q5VZ30,DB00114,1
BE0002160,DDC protein,Humans,CR456724,Q6IBS8,DB00114,1
BE0002161,Pyridoxal-dependent decarboxylase domain-containing protein 1,Humans,BC060871,Q6P996,DB00114,1
BE0002162,Kynurenine--oxoglutarate transaminase 3,Humans,AY028624,Q6YP21,DB00114; DB00142,2
BE0002163,Glutamate decarboxylase-like protein 1,Humans,AK128643,Q6ZQY3,DB00114,1
BE0004605,Selenocysteine lyase,Humans,AK128643,Q96I15,DB00114,1
BE0004612,Immunoglobulin superfamily member 10,Humans,AK128643,Q6WRI0,DB00114,1
BE0002164,5-phosphohydroxy-L-lysine phospho-lyase,Humans,AF318375,Q8IUZ5,DB00114,1
BE0002165,"Glutamate decarboxylase 1 (Brain, 67kDa)",Humans,BC037780,Q8IVA8,DB00114,1
BE0000292,"Serine hydroxymethyltransferase, mitochondrial",Humans,U23143,P34897,DB00114; DB00116; DB11638,3
BE0000898,"5-aminolevulinate synthase, erythroid-specific, mitochondrial",Humans,X56352,P22557,DB00114,1
BE0002166,Alanine aminotransferase 2,Humans,AY029173,Q8TD30,DB00114; DB00142; DB00780,3
