,name,organism,GenBank_ID,UniProt_ID,drugs,drugs_num
BE0000964,Spermine synthase,Humans,Z49099,P52788,DB00127,1
BE0000566,Spermine oxidase,Humans,AY033889,Q9NWM0,DB00127,1
BE0004796,DNA,Humans,-,-,DB00127; DB00614; DB01702; DB02379; DB02842; DB03148,6
BE0000404,Ornithine decarboxylase,Humans,M16650,P11926,DB00127; DB02209; DB02824; DB03856; DB04083; DB04263,6
BE0000509,Extracellular calcium-sensing receptor,Humans,X81086,P41180,DB00127,1
BE0000172,Beta-1 adrenergic receptor,Humans,J03019,P08588,DB00127; DB00866; DB01295; DB03566; DB08347; DB08558; DB08807; DB08808; DB09013; DB13781,10
BE0000694,Beta-2 adrenergic receptor,Humans,Y00106,P07550,DB00127; DB00866; DB01295; DB03566; DB07543; DB08807; DB08808; DB09013; DB09273,9
BE0000042,Pyridoxal kinase,Humans,U89606,O00764,DB00147; DB03909; DB04770; DB04776,4
BE0000270,Renin,Humans,L00073,P00797,DB00212; DB02803; DB03024; DB03395; DB03736; DB03968; DB04379; DB04387; DB06899; DB06967; DB07059; DB07113; DB07174; DB07244; DB08099,15
BE0000129,Gamma-aminobutyric acid receptor subunit rho-1,Humans,M62400,P24046,DB00466; DB00546; DB01567; DB01594,4
BE0000795,Gamma-aminobutyric acid receptor subunit alpha-1,Humans,X13584,P14867,DB00466; DB00546; DB00837; DB01352; DB01354; DB01355; DB01496; DB01567; DB01594; DB09166,10
BE0000745,Glycine receptor subunit alpha-2,Humans,X52008,P23416,DB00466,1
BE0000414,Glycine receptor subunit alpha-3,Humans,AF017724,O75311,DB00466,1
BE0000433,Glycine receptor subunit alpha-1,Humans,X52009,P23415,DB00466; DB11582,2
BE0000381,Gamma-aminobutyric acid receptor subunit alpha-2,Humans,S62907,P47869,DB00546; DB01352; DB01354; DB01355; DB01496; DB01567; DB01594; DB09166,8
BE0000523,Gamma-aminobutyric acid receptor subunit alpha-3,Humans,S62908,P34903,DB00546; DB01352; DB01354; DB01355; DB01496; DB01567; DB01594; DB09166,8
BE0000471,Gamma-aminobutyric acid receptor subunit alpha-5,Humans,L08485,P31644,DB00546; DB01352; DB01354; DB01355; DB01496; DB01567; DB01594,7
BE0003593,Gamma-aminobutyric acid receptor subunit gamma-1,Humans,AK122845,Q8N1C3,DB00546; DB01567; DB01594,3
BE0003592,Gamma-aminobutyric acid receptor subunit gamma-2,Humans,X15376,P18507,DB00546; DB01567; DB01594; DB09166,4
BE0003594,Gamma-aminobutyric acid receptor subunit gamma-3,Humans,S82769,Q99928,DB00546; DB01567; DB01594,3
BE0002344,Gamma-aminobutyric acid receptor subunit beta-1,Humans,X14767,P18505,DB00546; DB01567; DB01594,3
BE0002346,Gamma-aminobutyric acid receptor subunit beta-2,Humans,S67368,P47870,DB00546; DB01567; DB01594,3
BE0002345,Gamma-aminobutyric acid receptor subunit beta-3,Humans,M82919,P28472,DB00546; DB01567; DB01594,3
BE0003599,Gamma-aminobutyric acid receptor subunit delta,Humans,AF016917,O14764,DB00546; DB01567; DB01594,3
BE0003595,Gamma-aminobutyric acid receptor subunit epsilon,Humans,U66661,P78334,DB00546; DB01567; DB01594,3
BE0003596,Gamma-aminobutyric acid receptor subunit pi,Humans,U95367,O00591,DB00546; DB01567; DB01594,3
BE0003598,Gamma-aminobutyric acid receptor subunit rho-2,Humans,M86868,P28476,DB00546; DB01567; DB01594,3
BE0003619,Gamma-aminobutyric acid receptor subunit rho-3,Humans,AC026100,A8MPY1,DB00546; DB01567; DB01594,3
BE0000705,Cysteinyl leukotriene receptor 1,Humans,AF119711,Q9Y271,DB00587; DB08855,2
BE0000266,Neprilysin,Humans,X07166,P08473,DB00616; DB02062; DB02557; DB02558; DB02597; DB08575; DB08626; DB11623,8
BE0000221,Angiotensin-converting enzyme,Humans,J04144,P12821,DB00616; DB02032; DB03740; DB08836,4
BE0000217,Gamma-aminobutyric acid type B receptor subunit 1,Humans,AJ225028,Q9UBS5,DB00837,1
BE0000291,5-hydroxytryptamine receptor 1A,Humans,M28269,P08908,DB00866; DB01614; DB01622; DB08807; DB08922; DB09244; DB14010,7
BE0001012,Beta-3 adrenergic receptor,Humans,M29932,P13945,DB00866; DB08807; DB08808,3
BE0000959,Fatty acid synthase,Humans,U26644,P49327,DB01034,1
BE0000331,"Serine hydroxymethyltransferase, cytosolic",Humans,L11931,P34896,DB01055; DB02067; DB02800; DB02824,4
BE0001047,C-C motif chemokine 2,Humans,M24545,P13500,DB01055,1
BE0000252,Tyrosinase,Humans,M27160,P14679,DB01055,1
BE0000442,Histamine H1 receptor,Humans,Z34897,P35367,DB01071; DB01615; DB08800; DB08802; DB08922,5
BE0000105,Sterol O-acyltransferase 1,Humans,L21934,P35610,DB01094,1
BE0004608,Sterol O-acyltransferase 2,Humans,L21934,O75908,DB01094,1
BE0000232,Microsomal triglyceride transfer protein large subunit,Humans,X75500,P55157,DB01094,1
BE0000685,Sex hormone-binding globulin,Humans,X16349,P04278,DB01094; DB03467; DB04216; DB04429; DB11478; DB14641,6
BE0000668,Mineralocorticoid receptor,Humans,M16801,P08235,DB01134; DB02998; DB04630; DB04652; DB13951,5
BE0000759,Thromboxane A2 receptor,Humans,D38081,P21731,DB01207; DB06739; DB09285,3
BE0001893,Thromboxane-A synthase,Humans,M80647,P24557,DB01207; DB03052,2
BE0000501,Alpha-1A adrenergic receptor,Humans,D25235,P35348,DB01295; DB01472; DB01614; DB01622; DB09202; DB09239,6
BE0000062,Type-1 angiotensin II receptor,Humans,M91464,P30556,DB01342; DB01347; DB01349; DB13919,4
BE0003426,Type-2 angiotensin II receptor,Humans,U20860,P50052,DB01349,1
BE0000478,Gamma-aminobutyric acid receptor subunit alpha-4,Humans,U30461,P48169,DB01352; DB01354; DB01355; DB01496,4
BE0000764,Gamma-aminobutyric acid receptor subunit alpha-6,Humans,S81944,Q16445,DB01352; DB01354; DB01355; DB01496,4
BE0000849,Neuronal acetylcholine receptor subunit alpha-4,Humans,L35901,P43681,DB01352; DB01354; DB01355; DB01496; DB07720; DB09028,6
BE0002341,Neuronal acetylcholine receptor subunit alpha-7,Humans,X70297,P36544,DB01352; DB01354; DB01355; DB01496; DB07720; DB09028,6
BE0000829,Glutamate receptor 2,Humans,L20814,P42262,DB01352; DB01354; DB01355; DB01496; DB01664; DB02057; DB02347; DB02818; DB02966; DB02999; DB03240; DB03319; DB03759; DB04000; DB04129; DB04152; DB04599; DB04798; DB07455; DB07598; DB08303; DB08304; DB08305,23
BE0000826,"Glutamate receptor ionotropic, kainate 2",Humans,U16126,Q13002,DB01352; DB01354; DB01355; DB01496; DB02852; DB02999; DB03425,7
BE0001024,"Troponin C, slow skeletal and cardiac muscles",Humans,X07897,P63316,DB01375; DB03944; DB04513,3
BE0002468,Voltage-dependent anion-selective channel protein 1,Humans,L06132,P21796,DB01375,1
BE0002469,Voltage-dependent anion-selective channel protein 2,Humans,L08666,P45880,DB01375,1
BE0002470,Voltage-dependent anion-selective channel protein 3,Humans,U90943,Q9Y277,DB01375,1
BE0000794,Glucocorticoid receptor,Humans,X03225,P04150,DB01384; DB02210; DB04630; DB14538; DB14583,5
BE0000262,Prostaglandin G/H synthase 2,Humans,L15326,P35354,DB01397; DB03477; DB03866; DB04552; DB09217; DB09285; DB09288; DB09295,8
