,Gene name,Gene description,dN with Chimpanzee,dS with Chimpanzee,dN/dS with Chimpanzee,dN with Mouse,dS with Mouse,dN/dS with Mouse,present in DrugBank
0,MT-ATP8,mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415],0.0325,0.3331,0.0976,0.4871,0.848,0.5744,False
1,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462],0.0204,0.6559,0.0311,0.3455,13.3498,0.0259,True
2,KLF13,Kruppel like factor 13 [Source:HGNC Symbol;Acc:HGNC:13672],0.0026,0.0771,0.0337,0.0219,0.6809999999999999,0.0322,False
3,KCNE1B,potassium voltage-gated channel subfamily E regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:52280],0.0165,0.0649,0.2542,0.1382,0.8135,0.1699,False
4,PDK3,pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811],0.0152,0.03,0.5067,0.0151,0.5213,0.029,False
5,CDH9,cadherin 9 [Source:HGNC Symbol;Acc:HGNC:1768],0.0018,0.0097,0.1856,0.045,0.6534,0.0689,False
6,TMEM106B,transmembrane protein 106B [Source:HGNC Symbol;Acc:HGNC:22407],0.0354,0.0631,0.561,0.0183,0.5846,0.0313,False
7,DNAJC27,DnaJ heat shock protein family (Hsp40) member C27 [Source:HGNC Symbol;Acc:HGNC:30290],0.0,0.0,,0.0311,0.4206,0.0739,False
8,OTUD7A,OTU deubiquitinase 7A [Source:HGNC Symbol;Acc:HGNC:20718],0.0018,0.0313,0.0575,0.0338,0.6778,0.0499,False
9,GABRA5,gamma-aminobutyric acid type A receptor alpha5 subunit [Source:HGNC Symbol;Acc:HGNC:4079],0.0,0.0,,0.0216,0.7111,0.0304,True
10,IAH1,isoamyl acetate hydrolyzing esterase 1 (putative) [Source:HGNC Symbol;Acc:HGNC:27696],0.0,0.0,,0.0972,0.5307,0.1832,False
11,TRIM26,tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962],0.0009,0.0244,0.0369,0.0556,0.7767,0.0716,False
12,FYB1,FYN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4036],0.0052,0.0144,0.3611,0.128,0.6072,0.2108,False
13,SLC23A2,solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973],0.0,0.0,,0.0258,0.5336,0.0484,False
14,GABRB3,gamma-aminobutyric acid type A receptor beta3 subunit [Source:HGNC Symbol;Acc:HGNC:4083],0.025,0.052000000000000005,0.4808,0.0126,0.3573,0.0353,True
15,OR6A2,olfactory receptor family 6 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:15301],0.004,0.0227,0.1762,0.0559,0.4407,0.1268,False
16,ADAM17,ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195],0.0006,0.0105,0.0571,0.0403,0.5186,0.0777,False
17,NME8,NME/NM23 family member 8 [Source:HGNC Symbol;Acc:HGNC:16473],0.0135,0.0151,0.894,0.2742,0.6402,0.4283,False
18,FP565260.2,novel protein,0.1429,0.2534,0.5639,0.1772,1.2894,0.1374,False
19,GATD3B,glutamine amidotransferase like class 1 domain containing 3B [Source:HGNC Symbol;Acc:HGNC:53816],0.0017,0.0297,0.0572,0.0687,0.9258,0.0742,False
20,OR2D3,olfactory receptor family 2 subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:15146],0.009000000000000001,0.0201,0.4478,0.1346,0.6135,0.2194,False
21,DUOXA1,dual oxidase maturation factor 1 [Source:HGNC Symbol;Acc:HGNC:26507],0.0151,0.0197,0.7665,0.1124,0.5794,0.194,False
22,SFRP4,secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778],0.0025,0.0093,0.2688,0.0321,0.5982,0.0537,True
23,EPDR1,ependymin related 1 [Source:HGNC Symbol;Acc:HGNC:17572],0.0061,0.0127,0.4803,0.1094,0.6394,0.1711,False
24,FP565260.1,periodic tryptophan protein 2 homolog [Source:NCBI gene;Acc:102724159],0.0015,0.0134,0.1119,0.0556,0.8354,0.0666,False
25,FAM8A1,family with sequence similarity 8 member A1 [Source:HGNC Symbol;Acc:HGNC:16372],0.0023,0.0176,0.1307,0.1351,0.4692,0.2879,False
