,name,organism,GenBank_ID,UniProt_ID,drugs,drugs_num
BE0000048,Prothrombin,Humans,M17262,P00734,DB00001; DB00006; DB00055; DB00100; DB00170; DB00278; DB01123; DB01593; DB01725; DB01766; DB01767; DB02287; DB02723; DB03136; DB03159; DB03847; DB03865; DB04136; DB04591; DB04697; DB04722; DB04771; DB04772; DB04786; DB04898; DB05714; DB05777; DB06404; DB06695; DB06838; DB06841; DB06845; DB06850; DB06853; DB06858; DB06859; DB06861; DB06865; DB06866; DB06868; DB06869; DB06878; DB06911; DB06919; DB06929; DB06936; DB06942; DB06947; DB06996; DB07005; DB07016; DB07027; DB07083; DB07088; DB07091; DB07095; DB07105; DB07120; DB07128; DB07131; DB07133; DB07143; DB07165; DB07190; DB07211; DB07277; DB07278; DB07279; DB07353; DB07366; DB07376; DB07400; DB07440; DB07461; DB07508; DB07515; DB07521; DB07522; DB07527; DB07548; DB07549; DB07550; DB07639; DB07658; DB07659; DB07660; DB07665; DB07718; DB07741; DB07796; DB07809; DB07897; DB07934; DB07944; DB07946; DB08061; DB08062; DB08152; DB08187; DB08254; DB08422; DB08546; DB08624; DB09109; DB09130; DB09228; DB09332; DB11166; DB12598; DB12831; DB13151; DB13152; DB14487; DB14533; DB14738,115
BE0000767,Epidermal growth factor receptor,Humans,X00588,P00533,DB00002; DB00072; DB00281; DB00317; DB00530; DB01259; DB01269; DB03496; DB04988; DB05101; DB05294; DB05374; DB05424; DB05524; DB05944; DB06021; DB07602; DB07662; DB08916; DB09330; DB09559; DB10772; DB11731; DB11737; DB11828; DB11963; DB12010; DB12202; DB12267; DB13164,30
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Humans,X16863,O75015,DB00002; DB00005; DB00028; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112; DB06607; DB11767,19
BE0002093,Complement C1r subcomponent,Humans,X04701,P00736,DB00002; DB00005; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112; DB01593; DB06404; DB09228; DB14487; DB14533,21
BE0002094,Complement C1q subcomponent subunit A,Humans,AF135157,P02745,DB00002; DB00005; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112,16
BE0002095,Complement C1q subcomponent subunit B,Humans,X03084,P02746,DB00002; DB00005; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112; DB01593; DB14487; DB14533,19
BE0002096,Complement C1q subcomponent subunit C,Humans,AF087892,P02747,DB00002; DB00005; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112; DB01593; DB09130; DB14487; DB14533,20
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Humans,X52645,P08637,DB00002; DB00005; DB00028; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112; DB06607; DB11767; DB12023,20
BE0001529,Complement C1s subcomponent,Humans,X06596,P09871,DB00002; DB00005; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB01593; DB02371; DB06404; DB09130; DB09228; DB14487; DB14533,15
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Humans,X14356,P12314,DB00002; DB00005; DB00028; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112; DB00707; DB00992; DB06607; DB11767,21
